GeneSymbol,Exp017028_T_Py,Exp017022_T_An,Exp025215_T_An,Exp025241_T_An,Exp025255_T_An,Exp008534_T_An,Exp016992_T_AI,Exp017032_T_AI,Exp017036_T_AI,Exp016986_T_GC,Exp017006_T_GC,Exp025221_T_GC,Exp025227_T_GC,Exp025253_T_GC,Exp025447_T_GC,Exp008579_T_GC,Exp016996_T_LC,Exp017038_T_LC,Exp025243_T_Fu,Exp008546_T_Fu,Exp008577_T_Fu,Exp016998_T_Ca,Exp017000_T_Ca,Exp025211_T_Ca,Exp025245_T_Ca,Exp025249_T_Ca,Exp025449_T_Ca,Exp025451_T_Ca,Exp008536_T_Ca,Exp017029_P_Py,Exp017023_P_An,Exp025216_P_An,Exp025242_P_An,Exp025256_P_An,Exp008535_P_An,Exp016993_P_AI,Exp017033_P_AI,Exp017037_P_AI,Exp016987_P_GC,Exp017007_P_GC,Exp025222_P_GC,Exp025228_P_GC,Exp025254_P_GC,Exp025448_P_GC,Exp008580_P_GC,Exp016997_P_LC,Exp017039_P_LC,Exp025244_P_Fu,Exp008547_P_Fu,Exp008578_P_Fu,Exp016999_P_Ca,Exp017001_P_Ca,Exp025212_P_Ca,Exp025246_P_Ca,Exp025250_P_Ca,Exp025450_P_Ca,Exp025452_P_Ca,Exp008537_P_Ca
TMEM132A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPSF3L,0.077,0.0,0.145,0.0,0.0,0.055999999999999994,0.046,0.11800000000000001,0.0,0.086,0.10099999999999999,0.012,0.092,0.0,0.0,0.013999999999999999,0.0,0.49,0.0,0.0,0.07400000000000001,0.038,0.005,0.036000000000000004,0.0,0.0,0.0,0.008,0.033,0.0,0.0,0.086,0.0,0.0,0.071,0.08199999999999999,0.019,0.264,0.052000000000000005,0.342,0.017,0.033,0.0,0.046,0.07,0.0,0.015,0.0,0.0,0.062,0.0,0.061,0.391,0.0,0.0,0.0,0.03,0.0
THG1L,0.11699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055999999999999994,0.593,0.0,0.0,0.055,0.0,0.081,0.0,0.0,0.0,0.0,0.016,0.0,0.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.938,0.0,0.0,0.08900000000000001,0.0,0.0,0.0,0.0,0.11599999999999999,0.0,0.040999999999999995,0.0
C20orf27,0.0,0.204,0.831,0.0,1.0759999999999998,0.0,0.0,0.0,0.0,0.33799999999999997,0.0,0.0,0.0,1.8019999999999998,0.142,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.945,0.0,0.821,0.0,0.391,0.0,0.11199999999999999,0.0,0.0,0.0,0.866,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.087,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,2.3,0.38299999999999995,0.0,0.158,0.0,0.0,0.21
SLC35F6,0.0,0.0,0.386,0.0,0.73,0.08900000000000001,0.0,0.0,0.0,0.0,0.0,0.447,0.085,0.35,0.0,0.0,0.0,0.0,0.079,0.0,0.262,0.0,0.0,0.142,0.0,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.0
HRASLS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMRK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLN6,0.0,0.0,0.0,0.121,0.0,0.096,0.0,0.19,0.037000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.068,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.22899999999999998,0.10800000000000001,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0
PINX1,0.0,0.0,0.0,0.0,1.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf123,0.9390000000000001,0.0,1.04,0.0,0.0,1.726,3.5,1.425,0.0,5.242999999999999,0.631,0.0,3.425,5.2,0.19399999999999998,0.34600000000000003,2.79,1.6369999999999998,0.5329999999999999,1.829,0.0,2.291,1.599,9.517000000000001,0.943,0.0,1.224,0.56,0.24600000000000002,0.878,1.284,2.0469999999999997,4.453,1.8880000000000001,0.0,6.562,1.54,3.2960000000000003,2.339,2.7680000000000002,4.287,1.923,0.0,0.9420000000000001,3.185,3.79,2.705,1.021,1.135,5.171,1.886,1.0959999999999999,5.225,1.534,0.912,1.123,1.2209999999999999,0.0
