geneSymbol,C3N.01799,C3N.01799.N,C3L.01890,C3L.01890.N,C3N.00572,C3N.00572.N,C3N.02423,C3N.02423.N,C3N.02729,C3N.02729.N,C3L.00263,C3L.00263.N,C3N.01410,C3N.01410.N,C3N.00578,C3N.00578.N,C3N.02587,C3N.02587.N,C3L.00893,C3L.00893.N,C3N.01488,C3N.01488.N,C3N.01413,C3N.01413.N,C3N.01030,C3N.01030.N,C3N.02588,C3N.02588.N,C3N.00552,C3N.00552.N,C3L.01889,C3L.01889.N,C3N.00169,C3N.00169.N,C3L.00422,C3L.00422.N,C3L.00083,C3L.00083.N,C3N.00551,C3N.00551.N,C3N.02089,C3N.02089.N,C3L.01682,C3L.01682.N,C3N.01016,C3N.01016.N,C3N.00580,C3N.00580.N,C3N.02000,C3N.02000.N,C3N.01489,C3N.01489.N,C3N.00737,C3N.00737.N,C3N.01405,C3N.01405.N,C3N.01416,C3N.01416.N,C3N.02149,C3N.02149.N,C3N.02424,C3N.02424.N,C3L.00279,C3L.00279.N,C3N.02379,C3L.00095,C3L.00095.N,C3N.02572,C3N.02572.N,C3N.00559,C3N.00559.N,C3L.02345,C3L.02345.N,C3L.00093,C3L.00093.N,C3L.00510,C3L.00510.N,C3L.00913,C3L.00913.N,C3L.00412,C3L.00412.N,C3N.01415,C3N.01415.N,C3N.00549,C3N.00549.N,C3N.02433,C3N.02433.N,C3N.01021,C3N.01021.N,C3N.00203,C3N.00203.N,C3L.01330,C3L.01330.N,C3N.00574,C3N.00574.N,C3N.01071,C3N.01071.N,C3N.00550,C3N.00550.N,C3N.00167,C3N.00167.N,C3L.00001,C3L.00001.N,C3L.01632,C3L.01632.N,C3N.02155,C3N.02155.N,C3N.00217,C3N.00217.N,C3N.02002,C3N.02002.N,C3N.02145,C3N.02145.N,C3N.02586,C3N.02586.N,C3L.02219,C3L.02219.N,C3N.00180,C3N.00180.N,C3N.00704,C3N.00704.N,C3N.02158,C3N.02158.N,C3N.02421,C3N.02421.N,C3N.00556,C3N.00556.N,C3N.01072,C3N.01072.N,C3L.00094,C3L.00094.N,C3L.00144,C3L.00144.N,C3N.00223,C3N.00223.N,C3N.02380,C3L.01924,C3L.01924.N,C3N.00433,C3N.00433.N,C3L.01683,C3L.01683.N,C3N.00293,C3N.00293.N,C3N.02380.N,C3L.00009,C3L.00009.N,C3N.00546,C3N.00546.N,C3N.01414,C3N.01414.N,C3N.02087,C3N.02087.N,C3L.00140,C3L.00140.N,C3N.02529,C3N.02529.N,C3L.00368,C3L.00368.N,C3N.02067,C3N.02067.N,C3L.00080,C3L.00080.N,C3N.00547,C3N.00547.N,C3N.01023,C3N.01023.N,C3N.01024,C3N.01024.N,C3L.00973,C3L.00973.N,C3L.02348,C3L.02348.N,C3L.02508,C3L.02508.N,C3N.00560,C3N.00560.N,C3L.00604,C3L.00604.N,C3N.00199,C3N.00199.N,C3N.00579,C3N.00579.N,C3N.02582,C3N.02582.N,C3L.02350,C3L.02350.N,C3N.00738,C3N.00738.N,C3N.00959,C3N.00959.N,C3N.02003,C3N.02003.N,C3N.02379.N,C3N.00175,C3N.00175.N,C3N.01823,C3N.01823.N,C3L.02549,C3L.02549.N,C3L.02365,C3L.02365.N
BUD23,0.6317,-0.2702,0.5736,-0.4171,-0.009000000000000001,0.172,-0.0777,-0.6343,0.629,-1.0899,-0.6242,-0.7824,0.1144,-0.4728,-0.9034,-0.5552,1.0671,-0.6878,-0.2326,-0.4294,-1.1771,-0.4568,0.7762,-0.7067,-1.0567,-2.1841,0.2336,-0.1394,-0.4066,-0.3374,0.0668,-0.5652,-0.134,-1.1973,0.0804,-0.8822,-0.2011,-0.3921,-0.0492,-0.08,0.5878,0.0385,0.9936,0.4273,-0.718,-0.8462,2.1664,-1.8982,0.8111,-0.3878,0.4252,-0.0374,0.7569,0.1672,0.0787,-0.3959,-0.5221,0.4333,0.708,-1.103,0.5302,0.6609999999999999,0.3881,-0.1451,-0.1397,0.9209,-0.2182,-0.1235,0.1286,0.8621,0.003,0.5364,-1.3095,1.067,-1.6266,0.7215,0.0048,-0.1016,0.0099,0.4105,-0.1085,0.6424,0.0122,0.5599,-0.1416,1.2793,0.6149,-0.1354,-0.1824,0.9869,0.8676,0.3274,-0.5633,0.6736,0.008,-1.4105,-1.7315,1.621,-0.5158,-0.4982,-1.7151,1.0535,-0.8481,-0.732,-0.2775,0.2911,-1.5427,1.7358,0.5782,0.7809999999999999,-0.494,1.1001,0.0845,0.4551,-0.5165,-0.2667,0.124,1.276,-1.0427,0.8099,-0.9267,0.8429,0.3255,0.5632,-0.4371,-1.0962,0.1357,0.569,-1.1432,1.791,-0.478,0.9798,-0.8528,0.1751,0.6731,0.188,-0.546,-1.8452,-0.0761,-1.3365,-0.929,-1.3429,-0.2144,-1.539,-1.0436,-1.4696,-0.2888,2.9993,-0.2313,0.6287,-1.3829,0.8029,-0.095,0.1611,-0.8393,0.2849,-0.036000000000000004,0.4985,-0.6944,1.3795,-0.7693,-1.3414,-0.4922,1.4531,-0.5065,-1.0533,-0.1167,-0.1835,0.2165,0.503,-1.1919,0.158,-1.7916,-1.0644,-1.3986,0.9344,-1.8746,0.9516,-0.2018,0.7322,-0.3821,1.1235,-0.1789,0.637,-0.9201,0.9342,-0.8102,0.0636,-1.9092,-0.792,-0.6699,0.8351,-0.9882,-0.5321,-0.5501,-1.362,-0.324,-0.951,-0.9267,-0.5187,0.5913,-2.5106
BUD31,1.0952,-1.039,-0.4465,-1.6471,0.9691,-0.3009,0.7244,-0.9709,1.1626,0.2863,0.0895,-0.3882,0.7372,-1.2686,0.5258,0.0568,0.1298,0.3142,0.4295,-1.1634,0.5929,-1.5286,0.7728,-0.0402,0.4798,-0.5773,1.154,0.4639,0.3776,-0.236,0.6527,0.1177,0.0694,-0.4458,0.5965,-0.4617,0.4356,-0.746,0.0972,-0.4817,0.6413,-0.3611,0.2937,-1.1995,0.1826,-1.1311,0.8948,-1.1201,1.1222,-0.5348,0.2151,-1.4703,1.3672,-1.4712,1.834,-1.6403,0.7266,-0.6963,0.2464,-0.7707,0.8526,-0.2711,0.4028,-1.4265,1.4296,0.5608,-1.4222,1.1536,-0.4421,0.4192,-0.156,0.746,-0.7242,0.3584,-0.3724,1.019,-0.434,1.2444,-1.6469,-1.3942,-1.1711,0.8396,-2.1311,0.9553,-0.9935,1.1365,-1.0545,0.4618,-0.9553,1.4989,-0.9092,0.5329,-0.4611,0.5307,-0.938,0.625,-1.3645,0.1681,-0.8339,0.3562,-0.4313,0.3687,-0.7376,0.2761,-0.9189,0.1918,-0.6882,-0.1934,-1.5615,0.2954,-0.9036,0.5091,-0.2538,0.6153,-0.6304,0.6334,0.2458,0.7862,-0.3292,0.327,-0.3158,0.298,-0.4042,0.266,-0.2397,0.5621,-1.4038,0.8328,-0.8999,0.7674,-0.7156,1.368,-1.5517,0.2637,-0.5122,1.0102,0.3239,-0.8264,0.0308,-0.2041,0.1062,0.1395,0.6598,-1.1568,-0.4689,0.3668,0.133,0.0502,-0.126,0.8076,-1.6792,0.5087,0.7135,0.8748,0.065,0.7527,-0.0075,0.7308,-0.6516,1.716,-0.3223,0.4673,-0.4970000000000001,0.6865,-2.1987,0.0465,-1.0428,-0.192,-0.4328,0.4444,-0.9579,0.8136,-0.6341,0.2809,-1.2759,0.6264,-1.4603,-0.6794,-0.2716,0.9013,-0.0347,0.6268,-0.175,0.9679,-0.1376,0.8272,-0.7356,-0.4397,-1.0581,-0.3021,-1.9636,0.6837,-0.7014,-0.4424,0.3872,-1.362,0.8395,-0.8779,0.3979,-0.9402,1.002,-1.787
BYSL,-0.26,-0.7893,0.8997,-0.5634,0.1563,-0.8367,0.375,-0.7139,-0.4307,-1.6983,-0.6834,-0.7042,0.8608,-0.9026,-0.6707,-0.3874,0.3196,-0.7145,-0.7908,-0.4225,0.2445,-0.7518,1.1167,-0.8614,0.6328,-0.3208,-0.0405,-0.7899,0.8289,-0.4446,-0.1615,-0.2015,0.0627,-1.1564,-0.07200000000000001,-1.1657,0.1586,-0.2476,0.6588,-0.9059,1.5998,-0.3962,-1.2597,-0.6397,0.9579,-0.5126,1.4367,-0.1658,-0.7344,-0.5826,1.4483,-0.0344,0.3896,-0.0881,1.2109,-0.448,-1.2634,-0.9099,0.5728,-0.3373,1.529,-0.4742,0.0907,0.7211,0.878,-0.1559,-0.2002,-0.195,-1.0234,-0.2911,-1.0638,-0.0265,-0.5489,-1.027,-1.1693,-0.3678,0.3942,0.0844,-0.1993,-1.0996,-0.8293,0.5702,-0.163,0.8787,-0.6122,-0.7736,0.8197,-0.5566,-0.1127,0.8858,-0.046,-0.4206,-0.0686,2.0765,0.2766,-0.1251,0.3562,-0.693,-0.1204,-0.1647,-1.0818,0.3371,-0.1851,-0.1163,-0.1543,1.1068,-0.5981,0.5429,-0.292,-0.0331,-1.423,-0.2954,-0.7872,0.3482,-0.8701,-0.3436,-0.2941,-0.0689,-0.8681,0.383,-0.57,-0.1941,-0.1537,0.3325,-0.8211,0.5202,0.0507,-0.0984,-0.8893,1.4147,-0.8701,0.807,-1.5026,-0.7297,-1.186,-0.6402,-0.5428,-0.9831,-0.5467,-0.7981,-0.8352,-0.24,-0.1382,0.0232,-1.3364,0.329,-0.8022,1.1457,-0.2804,0.5984,0.3485,0.0659,-0.4699,1.2622,-1.0431,0.8118,-0.5262,-0.4569,-1.1011,0.6411,-0.7484,0.0459,-0.6428,-0.0658,-0.5027,0.6009,-0.3989,0.4224,-0.9996,-0.057,-0.3891,-0.5542,-1.1908,0.0055,0.2875,1.7218,-0.0361,0.2048,-1.3251,0.3824,-0.8703,0.4755,-1.5771,-0.537,-1.0046,-0.2044,-0.7294,-1.1093,0.012,0.0986,0.2666,0.2522,-0.755,-0.1735,0.1472,-1.0332,1.3014,-0.443,-0.0125,-0.4143,0.9399,-0.4597
BZW1,1.0376,-1.8976,0.0496,-1.8667,-0.2065,-1.5794,3.2142,-1.9589,0.5858,-1.791,0.7377,-1.7575,1.1837,-2.1614,0.9323,-1.5624,0.1997,-1.0085,-0.6285,-1.1841,-0.2693,-1.5089,1.244,-1.27,1.6494,-0.8203,0.8099,-1.0427,1.6131,-1.2208,1.3021,-0.848,2.0029,-0.7211,0.4487,-1.0797,-0.6806,-1.3623,1.7102,-0.9134,1.0284,-1.0762,0.5532,-1.485,1.3843,-0.775,1.1807,-0.9953,0.0918,-1.5328,1.4277,-1.9069,0.0638,-1.8655,0.5321,-1.6794,1.3846,-1.5254,-0.1975,-0.6696,0.7375,-1.6932,1.6329,-1.7587,1.5566,0.6377,-0.8082,0.6118,-1.0553,0.7183,-1.3222,1.6352,-1.7718,0.6844,-2.1041,0.376,-1.7186,1.4776,-1.354,1.6312,-1.4587,1.1284,-3.0742,0.154,-1.6731,-0.6269,-2.5346,0.9136,-1.6553,2.3014,-1.8496,0.2054,-1.3219,1.492,-1.6698,0.8229,-0.8588,0.6503,-0.7011,0.1783,-1.2895,0.35600000000000004,-0.6626,1.0186,-1.5518,0.7321,-2.0734,0.6302,-1.3636,0.1766,-1.6923,1.4581,-0.9145,1.0661,-0.6854,0.8873,-0.4687,1.5387,-0.6631,1.0047,-0.5624,0.4763,-1.4566,0.738,-1.4025,1.63,-1.6009,0.5404,-1.4182,2.0194,-1.8693,0.3491,-1.6537,-0.5757,-1.3733,0.2642,0.1762,-1.2182,0.2055,-1.8645,0.9764,-0.489,0.9512,-2.0133,-1.3147,2.6,-0.635,-0.3246,-1.6066,0.2237,-1.7635,1.0776,-0.7418,0.2106,-0.8358,0.4112,-0.6222,1.0417,-0.8335,-0.2736,-1.2897,0.5278,-0.5581,1.0355,-2.0580000000000003,0.4249,-1.2892,-0.1382,-1.3974,0.5974,-1.1297,-0.0595,-1.4352,-0.8349,-2.2157,0.6183,-1.6998,0.8074,-0.9396,0.3968,-1.1816,-0.1364,-1.5453,0.6307,-1.4381,-0.2429,-0.9627,0.517,-1.3346,-0.4625,-1.5152,0.6294,-1.2483,-1.2987,1.1527,-2.2519,0.8135,-1.8025,0.9896,-1.9237,1.51,-2.2069
BZW2,0.408,-2.6664,0.5458,-2.1663,0.6614,-3.0426,1.4114,-2.1326,-0.2198,-3.1561,-0.5369,-2.4828,0.9799,-1.7704,2.1092,-2.685,-0.2146,-1.5362,-1.336,-2.2488,-0.498,-2.0104,-0.5997,-2.2776,-0.2711,-2.2279,1.0617,-2.3134,1.0738,-2.0664,1.4061,-3.0056,-0.1073,-2.3842,-0.0833,-2.6404,-1.9746,-2.135,1.6773,-1.7468,1.3565,-1.6966,-0.8428,-2.3041,0.7283,-1.5734,2.3669,-1.9129,1.3166,-2.5991,1.9065,-2.2575,0.1328,-1.7492,0.1872,-1.7641,1.8009,-2.311,1.6223,-1.8004,0.1647,-2.5735,-0.574,-2.7643,1.423,2.092,-0.946,3.559,-2.069,1.5609,-1.8456,2.3238,-2.894,0.9324,-3.0355,0.5324,-2.1051,0.7022,-2.3777,-0.0525,-1.8208,1.0229,-1.88,1.6416,-1.547,1.3603,-1.4589,-0.6983,-2.2789,1.4043,-2.2649,-0.122,-2.4795,0.3911,-1.384,1.1966,-1.9782,3.0802,-2.1281,0.9723,-2.9609,-0.8179,-2.336,0.101,-2.5246,2.587,-2.1568,-1.0796,-2.1041,0.526,-2.8261,0.7225,-1.9295,3.4167,-1.8405,2.1374,-1.6377,0.2372,-1.4677,1.3835,-1.8638,-0.0033,-2.1643,1.21,-2.1777,0.2072,-2.25,0.3656,-2.2081,-0.3145,-2.3292,3.2448,-2.5906,-0.1329,-2.7748,-0.0708,-0.1287,-2.5617,-1.0993,-2.8233,-1.6641,-2.2323,-1.3218,-2.2225,-2.7751,2.2372,-1.4548,1.4518,-2.3961,-0.5086,-1.993,1.876,-2.708,1.2389,-2.5944,0.7016,-2.5727,0.2106,-2.6889,0.8175,-2.9451,0.9743,-1.217,2.4715,-2.3014,-0.2292,-1.9092,2.008,-3.0001,-0.5748,-1.5296,-0.4052,-3.4058,-0.563,-1.4713,1.2057,-2.1691,1.0465,-1.3875,1.2998,-2.3482,0.7189,-2.2047,1.9352,-1.0744,-0.8721,-2.4589,-0.0903,-3.2055,-0.1329,-2.134,0.3293,-2.2388,-2.7115,0.504,-1.2486,2.9123,-1.5394,0.6858,-2.003,2.0153,-1.2883
C11orf52,-2.101,2.0362,0.3411,1.7433,1.837,3.4531,-3.4768,2.7713,0.7281,0.8947,-2.3632,-3.9574,-1.0694,-0.4894,-1.2214,2.4418,3.4108,1.7971,1.7634,-1.4942,-2.4615,0.3856,-0.4036,-0.1116,-1.6545,1.4683,1.2268,1.2628,-0.159,1.4379,2.3192,0.7601,0.1194,2.0245,0.5692,-0.4044,-1.3958,0.9203,2.3016,1.8684,1.0247,1.7701,-0.3159,1.3628,-1.0281,0.8819,-0.6839,1.8308,0.6945,1.4476,-2.396,-0.2373,-3.1729,-1.9172,-0.5306,-0.1516,-1.0692,0.3754,1.0461,1.1389,-9.2274,-2.0118,-1.1468,-1.9337,-4.1701,-2.0856,0.9259,-0.4659,2.1631,-0.1214,0.4635,,,,,,,,,0.9156,1.3128,-0.9377,1.0897,0.6784,1.722,2.0317,0.1768,1.5339,1.9175,-3.0558,1.4105,0.8346,1.4287,0.0111,0.5106,-2.9022,-0.8557,-0.0167,-1.1273,0.9278,0.1328,-2.6073,-1.6809,0.4753,-0.0779,-1.3878,1.4612,-1.064,0.2984,-2.2134,-0.3386,1.5927,1.6845,2.2113,1.6128,-2.1439,-1.6945,0.2668,2.1036,0.0922,1.6762,0.642,-0.0629,-1.7304,0.1192,-0.438,0.7474,-4.3095,1.1664,-2.7739,1.0678,-3.2258,0.2919,0.8066,0.8569,1.2933,-0.2507,1.7897,-4.7498,1.1333,-5.4748,1.4855,0.1442,0.2994,1.4506,-2.8525,-2.8118,-1.0683,1.2353,-0.2926,-0.6683,-1.8282,-0.0031,0.598,2.5063,-1.7368,1.9074,-0.0905,0.5402,3.0848,0.474,-0.0646,-0.8170000000000001,-0.6064,1.1402,-1.3642,1.7077,0.8981,1.1999,-1.633,1.0357,-2.2467,1.645,1.2944,-0.6272,-1.4276,0.8378,0.8533,1.1967,0.1187,2.4721,0.5479,3.2727,1.5374,1.104,0.7844,1.0251,-0.136,-0.4907,2.8063,-0.1888,-1.7311,0.1399,1.5484,-2.3114,0.3016,-1.4066,0.0358,0.9603,1.034,-0.7084,0.5188
C11orf54,-0.276,0.4587,0.3133,0.6875,0.2757,1.0292,-1.2729,1.5082,1.8437,0.8947,-1.2319,0.2588,0.1647,0.8692,-1.7033,0.1127,0.4142,0.4778,-0.1547,-0.4604,-1.5219999999999998,0.6872,0.0263,1.1975,-0.8401,0.35100000000000003,-0.2196,1.0032,0.4794,-0.155,1.3934,2.2834,-0.1373,0.555,1.7697,0.3505,-1.0113,0.6696,-0.8437,0.6371,-1.4084,0.1892,-2.1209,-0.0348,-1.5679,1.1218,-0.8823,0.7847,1.2485,0.7982,-0.1638,0.6852,-0.0854,0.0896,0.4904,1.2003,-0.5221,0.8134,-0.7826,0.8847,-1.3234,-0.6176,0.2265,0.0596,-1.9208,-1.5717,-0.344,0.6296,0.6567,-0.9928,0.2846,0.9765,1.1064,-0.1696,1.1475,1.5384,0.4378,0.4595,0.7881,0.2158,1.4956,-0.0491,0.7802,0.6122,0.5934,1.0477,-0.339,1.017,0.4214,-1.0183,0.1468,0.6998,1.089,-2.7752,-0.5660000000000001,0.5246,0.9883,1.906,0.9946,0.6134,1.0775,-1.0073,0.8962,0.9371,1.5575,-1.1912,0.8304,-1.4713,0.4042,3.1710000000000003,1.7698,-0.9948,0.9363,0.435,-0.2454,0.2988,0.8059,-1.2973,0.3616,1.5063,2.1429,-0.3699,-0.0316,1.3114,1.0344,-1.8608,0.7814,-2.0689,0.2073,-1.3381,0.5286,0.7373,0.9833,-0.2407,0.3453,0.6508,0.5101,2.8309,-2.2721,0.3656,-2.0054,0.2759,-0.4969,-0.1944,1.1108,0.0116,1.9556,-0.9968,1.5827,-1.3254,-0.5811,-3.0274,-0.2457,-0.3138,0.0007,-3.3553,-1.0698,0.1517,1.0611,0.0596,1.1445,0.3547,-0.3134,0.1802,0.9994,-0.103,-0.0292,-1.7521,0.5543,1.1054,0.7513,-0.6436,0.0308,0.0267,-0.4609,-0.6484,0.3264,-1.2493,-0.4257,-0.7672,0.3618,-0.7909999999999999,1.5568,-0.7342,0.3656,0.4805,-0.1943,2.605,1.6064,1.2565,-0.1211,1.3724,0.6524,0.6364,0.9614,0.1485,-0.4827,0.6973,3.4791,1.405,0.2725,0.2826
C11orf58,1.0856,-0.3267,-0.1585,-1.1105,1.0793,-0.482,-0.1452,-0.7827,-0.0419,-0.6411,0.6286,-0.9088,-0.0299,-1.0717,1.2929,0.0148,1.6618,-0.0466,-0.4013,-0.6017,1.2228,-0.755,-0.3348,-0.1989,1.2509,-0.2431,-0.0993,-0.0214,0.3363,-0.4851,0.8125,-0.2096,1.9028,0.3875,1.1877,-0.0795,-0.5979,-1.1382,-0.4464,-0.9172,-0.0684,-0.3401,0.6004,-0.6659999999999999,0.2661,-0.3289,0.402,-0.5549,1.2291,-0.4732,0.5217,-0.511,0.4366,-1.2935,0.9466,-0.1874,0.79,-1.1959,0.9785,-1.0216,-0.9176,-1.1275,0.7773,-0.8955,0.7766,-0.2922,-1.1586,-0.7487,-0.598,0.9368,0.0362,1.2729,-0.3141,-0.2936,-0.1471,1.9167,-0.5589999999999999,0.0245,-0.4391,0.6052,-0.2608,1.0757,-0.4521,0.2342,-0.4061,0.7082,-0.8653,-0.3575,-0.6269,-0.2717,-1.1258,0.8057,-0.3028,0.0826,-0.2285,-0.7664,-1.1733,0.6096,-1.3682,0.642,-0.4105,-0.3761,-0.635,0.5357,-0.6046,-0.1685,-0.5514,1.3151,-0.7493,1.2353,-1.2562,1.0049,-0.7076,0.5051,0.2142,0.168,-0.0059,1.3985,0.2326,-0.0199,0.1964,0.396,-0.3416,0.7136,-0.8067,0.2266,-0.9348,0.1908,-0.8576,0.624,-0.561,0.4795,-0.713,0.4215,-0.804,0.5839,-0.6038,-0.0315,-0.2401,-0.4021,0.1137,-0.0977,0.3594,-0.677,-0.205,-0.3662,0.5787,0.3705,-0.8488,0.4937,-2.359,-0.5256,-0.3045,0.9126,-0.4962,0.0241,-0.6009,-0.5813,-0.1913,0.321,-0.2804,-0.0605,-0.14400000000000002,2.0395,-0.2327,-0.1148,-0.8917,-0.1524,-0.3014,0.1741,-0.9579,0.4322,0.195,-0.7078,-1.7333,1.3791,-1.0363,0.8664,-0.2458,0.3366,-0.7884,-0.166,-0.6238,1.5374,-0.123,0.0054,-0.1508,0.047,-0.7959999999999999,-0.6614,-1.0388,0.5036,-0.4031,-0.4455,0.5819,-0.6252,1.6016,-0.0409,0.6698,-0.7565,0.0698,-0.7559
C11orf68,0.1363,0.7449,-0.1134,0.59,0.6293,0.6228,0.7602,1.3056,1.3608,0.7018,-0.1225,0.6922,0.7303,0.5975,-0.1265,0.8052,0.883,1.1124,0.3257,0.1598,-0.2693,0.6544,0.0986,0.1978,-0.2336,-0.2667,-0.5161,0.6257,-0.0076,0.6154,-0.7931,0.9177,0.116,0.5922,1.4651,0.685,-0.7426,-0.2387,0.6588,0.4869,-0.8591,0.6308,0.3133,0.123,-0.7657,0.0797,0.1887,0.2269,0.364,0.4051,-0.8596,0.473,-0.4057,0.6519,-0.3636,0.3533,-0.7402,0.1835,-1.3617,0.4383,0.8497,0.1671,1.5227,-0.0739,-0.7648,1.0817,0.4317,0.8321,0.8765,-0.8232,0.5762,-1.4576,1.1362,-0.7152,1.5409,-0.1132,1.6497,-0.3853,-0.0793,-0.3103,1.2045,0.6119,0.7306,-0.2919,0.5841,0.384,0.7963,0.1747,0.1228,0.4189,0.0311,0.0417,0.9505,-0.6871,0.1115,-0.7357,0.3654,0.6159,-0.037000000000000005,0.4006,1.0948,0.7726,0.6081,-0.6777,0.1218,-0.5411,0.273,0.1647,-0.0565,0.1696,-0.0352,0.4598,0.5223,-0.3062,0.505,-0.3667,0.4162,0.3794,0.354,0.3323,0.5948,-0.4151,0.266,0.4234,0.6216,0.5169,0.3498,0.2321,0.5388,-0.1644,0.6304,0.5462,-0.0821,0.1982,0.5362,0.1728,-0.4851,0.8978,-0.0547,0.3239,0.6613,0.2492,-0.1516,-0.0911,0.1312,-0.2415,0.1688,-0.2445,0.3406,-0.2488,0.2032,-0.3446,0.5555,-0.4886,0.6977,-0.2636,0.6817,-0.5813,0.6865,0.0171,0.5368,-0.2023,-0.304,-1.0756,-0.7879,-1.4757,-0.061,-0.73,0.3742,0.0634,0.7424,-0.3307,0.2511,0.2951,-0.3985,-0.475,0.3037,0.362,1.3986,0.0871,0.4437,-0.2943,0.2659,-0.0788,0.8248,-0.2857,-0.017,-0.4896,0.2023,-0.8989,-0.2635,-0.005,-0.3611,0.0553,0.3418,0.3894,-0.4596,0.8691,-0.4496,0.245,-0.041,0.2751
C11orf96,-0.7235,0.9014,-0.8386,1.8096,0.7165,1.262,-2.1346,1.168,2.8373,1.6514,-0.4902,1.7816,-0.6206,1.0384,-1.0837,1.5885,1.2398,-0.7145,1.5817,0.7146,-1.4657,1.1657,-0.6857,0.9753,-1.8769,1.0463,-1.7582,1.3302,-1.1,0.2766,-0.3720000000000001,1.0591,-0.16399999999999998,2.084,-1.534,1.1914,4.0198,0.5428,-1.2888,2.3978,-1.9448,2.0189,0.101,0.4686,-1.1623,0.9268,-0.9292,1.3793,-0.5951,0.5487,-0.0949,-0.3695,-1.0437,1.9543,-1.315,0.7638,-1.7312,0.6071,-1.0942,1.4778,-1.6573,-0.7889,-0.0856,0.1545,-1.5506,0.386,0.3628,-3.4279,1.2983,-1.1136,2.3022,-0.1792,1.5314,-2.3061,-0.1605,-1.8379,0.8185,0.2672,0.9081,3.7832,2.8627,-2.4290000000000003,-0.1133,-0.5898,0.3566,3.363,0.0265,1.9053,0.0698,-0.8957,-0.1439,-0.8444,1.2704,-1.7003,-0.7114,-2.3334,0.1866,-5.0299,-2.4462,-0.6952,0.7834,-0.7864,2.3959,1.3295,0.8099,-1.3154,-0.1709,-0.5604,0.7148,0.1311,0.5412,-0.8602,2.7433,2.001,-0.4969,0.5719,0.2742,-1.3842,0.8512,1.8531,2.6893,-1.1131,-0.5076,-0.3703,-0.4227,-0.2735,-0.996,-0.9057,0.976,-1.5823,1.5579,-1.1397,-0.7734,2.2466,1.682,1.1989,-0.1223,1.1665,-0.3649,1.0326,-0.0513,0.4893,0.5881,0.1627,0.7059,1.2661,2.0034,-2.1639,1.6493,0.0516,-2.1644,-1.4856,0.9818,-1.4178,1.459,-1.7368,-0.6932,0.9992,0.0585,0.4255,-1.2443,-0.4631,1.6208,-0.6779,-0.9704,-2.9158,0.6027,-0.6818,-1.1872,0.0113,0.9409,0.4202,2.4581,2.721,0.589,-0.7687,-0.1721,-1.8912,0.9178,-1.2202,1.453,-0.8962,1.8905,-1.7587,2.724,2.5778,0.6394,-1.0511,0.3855,0.3748,-0.7049,-3.2715,-2.147,1.5638,-0.6864,0.3469,-0.6358,1.6987,0.3446,1.5599,-1.8946,2.8246
C11orf98,0.4176,-0.3134,0.8962,0.1962,1.1023,-0.0571,-0.6813,0.0823,-1.038,0.6832,1.2176,0.1986,-1.0076,-0.4146,-0.0642,-0.1181,1.4287,0.401,0.6924,-0.1227,0.6879,-0.2011,-0.2523,-0.191,-0.0343,0.3138,0.8938,-0.3113,1.0023,0.5459,0.3255,0.6389,-0.4973,0.5587,0.385,-0.3152,1.2045,-0.2652,0.1331,-0.5004,1.1187,0.4135,0.5021,0.8067,0.618,-1.1909999999999998,1.9552,-1.0687,0.8792,-0.1588,0.5596,-0.102,0.3372,0.1898,-0.5723,-0.5784,-0.0385,0.2052,0.0906,-0.5784,0.3057,0.6252,-1.6498,-0.3112,-0.3593,0.2042,-0.8082,-0.8618,0.1215,-0.5643,0.7551,-1.3199,-0.9106,-0.0632,-0.9675,-1.7244,-0.1027,1.3768,-0.2383,-0.0104,-0.2066,1.8283,0.0589,1.3856,0.5934,-1.4682,0.9908,1.4496,-0.5008,1.0686,-1.6508,-0.0739,-0.4446,-0.4988,-1.0735,-0.2784,-0.4117,-0.12,0.0402,-1.4733,0.0705,-1.569,0.6594,-0.4513,1.069,-0.5722,0.0861,-1.2609,-0.2135,0.3513,0.6587,-0.8339,0.0885,0.051,0.721,0.9296,0.9724,-0.616,0.6994,0.7085,0.591,-1.0453,0.5604,0.752,0.5535,-0.5155,0.0032,0.7501,0.6446,-0.21600000000000005,0.2044,0.6524,0.0312,-0.7297,0.947,-2.3088,1.2548,0.1999,-1.9156,-1.5727,0.1325,-0.2074,0.7674,-0.2753,0.4312,-0.5552,0.535,0.0473,0.4669,0.7334,0.5635,-0.4125,0.3387,-1.6567,-0.6177,0.5752,0.3762,0.2695,0.0264,0.0661,-0.8985,0.1961,0.7172,-0.3919,0.197,0.1726,-0.1644,0.5725,-0.0087,0.4216,0.1085,-0.8432,-0.7302,1.5027,-1.1636,0.3205,-0.1591,1.1022,-0.3707,0.0613,0.0833,0.0676,0.5996,-0.2188,0.7403,1.7689,0.0016,0.3423,-0.2789,0.9923,-1.0038,1.7439,0.7212,-0.7979,0.2899,0.0607,1.1773,0.0797,0.6911,0.5548,-0.4328,-0.2048
